soil_id,soil_texture,starring_series
0,sand (Z),B01
1,heavy clay (U),B11
2,heavy clay (U),B11
3,heavy clay (U),B11
4,clay (E),B09
5,clay (E),B09
6,heavy clay (U),B11
7,heavy clay (U),B11
8,clay (E),B10
9,heavy clay (U),B11
10,heavy clay (U),B11
11,heavy clay (U),B11
12,heavy clay (U),B11
13,heavy clay (U),B11
14,heavy clay (U),B11
15,heavy clay (U),B11
16,clay (E),B09
17,clay (E),B09
18,clay (E),B09
19,clay (E),B09
20,clay (E),B10
21,clay (E),B09
22,clay (E),B10
23,clay (E),B10
24,clay (E),B09
25,clay (E),B09
26,light sandy loam (P),B03
27,light sandy loam (P),B07
28,light sandy loam (P),B07
29,heavy clay (U),B11
30,heavy clay (U),B11
31,heavy clay (U),B11
32,sandy loam (L),B08
33,heavy clay (U),B11
34,heavy clay (U),B11
35,clay (E),B09
36,clay (E),B08
37,heavy clay (U),B11
38,heavy clay (U),B11
39,heavy clay (U),B11
40,clay (E),B09
41,clay (E),B09
42,heavy clay (U),B11
43,heavy clay (U),B11
44,heavy clay (U),B11
45,heavy clay (U),B11
46,heavy clay (U),B11
47,heavy clay (U),B11
48,sand (Z),B01
49,heavy clay (U),B11
50,heavy clay (U),B11
51,heavy clay (U),B11
52,loamy sand (S),B07
53,sand (Z),B01
54,sandy loam (L),B08
55,sandy loam (L),B08
56,clay (E),B09
57,clay (E),B09
58,clay (E),B10
59,heavy clay (U),B11
60,clay (E),B09
61,clay (E),B10
62,clay (E),B09
63,clay (E),B09
64,clay (E),B09
65,clay (E),B09
66,clay (E),B09
67,clay (E),B09
68,clay (E),B09
69,clay (E),B09
70,loamy sand (S),B03
71,loamy sand (S),B03
72,loamy sand (S),B03
73,clay (E),B10
74,clay (E),B10
75,loamy sand (S),B03
76,clay (E),B10
77,loam (A),B13
78,sandy loam (L),B08
79,clay (E),B09
80,sandy loam (L),B13
81,sand (Z),B01
82,sand (Z),B01
83,light sandy loam (P),B07
84,loamy sand (S),B02
85,loamy sand (S),B02
86,loamy sand (S),B02
87,loamy sand (S),B01
88,sand (Z),B01
89,sand (Z),B02
90,sand (Z),B01
91,sand (Z),B01
92,sand (Z),B01
93,sand (Z),B01
94,sand (Z),B01
95,sand (Z),B01
96,light sandy loam (P),B07
97,light sandy loam (P),B07
98,loamy sand (S),B02
99,loamy sand (S),B02
100,loamy sand (S),B02
101,loamy sand (S),B02
102,loamy sand (S),B02
103,loamy sand (S),B01
104,sand (Z),B01
105,sand (Z),B01
106,sand (Z),B01
107,sand (Z),B01
108,sand (Z),B01
109,sand (Z),B02
110,sand (Z),B01
111,sand (Z),B01
112,loamy sand (S),B02
113,sand (Z),B01
114,sand (Z),B02
115,sand (Z),B01
116,sand (Z),B01
117,sand (Z),B01
118,loamy sand (S),B07
119,light sandy loam (P),B07
120,loamy sand (S),B07
121,loamy sand (S),B02
122,loamy sand (S),B02
123,loamy sand (S),B02
124,loamy sand (S),B02
125,loamy sand (S),B02
126,loamy sand (S),B02
127,loamy sand (S),B02
128,sand (Z),B01
129,sand (Z),B01
130,sand (Z),B01
131,sand (Z),B01
132,sand (Z),B02
133,sand (Z),B01
134,sand (Z),B01
135,sand (Z),B01
136,sand (Z),B01
137,sand (Z),B01
138,sand (Z),B02
139,sand (Z),B01
140,sand (Z),B01
141,sand (Z),B01
142,clay (E),B09
143,sand (Z),B02
144,light sandy loam (P),B03
145,light sandy loam (P),B07
146,sand (Z),B02
147,loamy sand (S),B02
148,loamy sand (S),B02
149,loamy sand (S),B02
150,loamy sand (S),B02
151,sand (Z),B01
152,sand (Z),B01
