soil_id,ISOILLAY,clay%,silt%,sand%,USDA,Belgian
0,1,3.5,4.5,92,sand,sand (Z)
0,2,2.5,4,93.5,sand,sand (Z)
0,3,2.5,3.5,94,sand,sand (Z)
0,4,5.5,3,91.5,sand,sand (Z)
0,5,1,3,96,sand,sand (Z)
0,6,3,5,92,sand,sand (Z)
1,1,39,39,22,clay loam,heavy clay (U)
1,2,47.5,40.5,12,silty clay,heavy clay (U)
1,3,46,40,14,silty clay,heavy clay (U)
1,4,6,5,89,sand,sand (Z)
1,5,27.5,39.5,33,clay loam,clay (E)
1,6,27,35,38,clay loam,clay (E)
2,1,40,35,25,clay,heavy clay (U)
2,2,40,41,19,silty clay,heavy clay (U)
2,3,36,42,22,clay loam,heavy clay (U)
2,4,31,38,31,clay loam,clay (E)
2,5,26,38,36,loam,clay (E)
2,6,17,33,50,loam,sandy loam (L)
2,7,13,29,58,sandy loam,sandy loam (L)
3,1,40,35,25,clay,heavy clay (U)
3,2,41,41,18,silty clay,heavy clay (U)
3,3,38,42,20,silty clay loam,heavy clay (U)
3,4,33,39,28,clay loam,clay (E)
3,5,21,37,42,loam,clay (E)
3,6,13,29,58,sandy loam,sandy loam (L)
3,7,13,27,60,sandy loam,sandy loam (L)
4,1,25,40,35,loam,clay (E)
4,2,27,41,32,clay loam,clay (E)
4,3,27,38,35,clay loam,clay (E)
4,4,18,32,50,loam,sandy loam (L)
4,5,17,26,57,sandy loam,sandy loam (L)
4,6,13,23,64,sandy loam,sandy loam (L)
4,7,14,22,64,sandy loam,sandy loam (L)
5,1,23,38,39,loam,clay (E)
5,2,26,43,31,loam,clay (E)
5,3,29,43,28,clay loam,clay (E)
5,4,15,37,48,loam,sandy loam (L)
5,5,13,25,62,sandy loam,sandy loam (L)
5,6,15,21,64,sandy loam,sandy loam (L)
5,7,13,24,63,sandy loam,sandy loam (L)
6,1,40,35,25,clay,heavy clay (U)
6,2,41,41,18,silty clay,heavy clay (U)
6,3,38,42,20,silty clay loam,heavy clay (U)
6,4,33,39,28,clay loam,clay (E)
6,5,22,36.5,41.5,loam,clay (E)
6,6,13.5,28.5,58,sandy loam,sandy loam (L)
6,7,14,26.5,59.5,sandy loam,sandy loam (L)
7,1,39,39,22,clay loam,heavy clay (U)
7,2,47,41,12,silty clay,heavy clay (U)
7,3,46,40,14,silty clay,heavy clay (U)
7,4,6,5,89,sand,sand (Z)
7,5,27,40,33,clay loam,clay (E)
7,6,27,35,38,clay loam,clay (E)
8,1,30,44,26,clay loam,clay (E)
8,2,34,44,22,clay loam,clay (E)
8,3,42,49,9,silty clay,heavy clay (U)
8,4,40,50,10,silty clay,heavy clay (U)
8,5,6,9,85,loamy sand,sand (Z)
8,6,1,1,98,sand,sand (Z)
9,1,39,39,22,clay loam,heavy clay (U)
9,2,47,41,12,silty clay,heavy clay (U)
9,3,46,40,14,silty clay,heavy clay (U)
9,4,6,5,89,sand,sand (Z)
9,5,27,40,33,clay loam,clay (E)
9,6,27,35,38,clay loam,clay (E)
10,1,40,35,25,clay,heavy clay (U)
10,2,38,41,21,clay loam,heavy clay (U)
10,3,36,42,22,clay loam,heavy clay (U)
10,4,30,38,32,clay loam,clay (E)
10,5,17,33,50,loam,sandy loam (L)
10,6,15,25,60,sandy loam,sandy loam (L)
11,1,44,36,20,clay,heavy clay (U)
11,2,47,40,13,silty clay,heavy clay (U)
11,3,46,40,14,silty clay,heavy clay (U)
11,4,38,40,22,clay loam,heavy clay (U)
11,5,27,41,32,clay loam,clay (E)
11,6,31,35,34,clay loam,clay (E)
11,7,17,31,52,loam,sandy loam (L)
12,1,39,39,22,clay loam,heavy clay (U)
12,2,47.5,40.5,12,silty clay,heavy clay (U)
12,3,46,40,14,silty clay,heavy clay (U)
12,4,6,5,89,sand,sand (Z)
12,5,27.5,39.5,33,clay loam,clay (E)
12,6,27,35,38,clay loam,clay (E)
13,1,39,39,22,clay loam,heavy clay (U)
13,2,47.5,40.5,12,silty clay,heavy clay (U)
13,3,46,40,14,silty clay,heavy clay (U)
13,4,6,5,89,sand,sand (Z)
13,5,27.5,39.5,33,clay loam,clay (E)
13,6,27,35,38,clay loam,clay (E)
14,1,48,38.5,13.5,clay,heavy clay (U)
14,2,47.5,40.5,12,silty clay,heavy clay (U)
14,3,46,40,14,silty clay,heavy clay (U)
14,4,6,5,89,sand,sand (Z)
14,5,27.5,39.5,33,clay loam,clay (E)
14,6,27,35,38,clay loam,clay (E)
15,1,39,39,22,clay loam,heavy clay (U)
15,2,47.5,40.5,12,silty clay,heavy clay (U)
15,3,46,40,14,silty clay,heavy clay (U)
15,4,6,5,89,sand,sand (Z)
15,5,27.5,39.5,33,clay loam,clay (E)
15,6,27,35,38,clay loam,clay (E)
16,1,23,38,39,loam,clay (E)
16,2,26.5,42.5,31,loam,clay (E)
16,3,29,43,28,clay loam,clay (E)
16,4,15,37,48,loam,sandy loam (L)
16,5,13,25,62,sandy loam,sandy loam (L)
16,6,15,21,64,sandy loam,sandy loam (L)
16,7,13.5,24,62.5,sandy loam,sandy loam (L)
17,1,23,38,39,loam,clay (E)
17,2,26.5,42.5,31,loam,clay (E)
17,3,29,43,28,clay loam,clay (E)
17,4,15,37,48,loam,sandy loam (L)
17,5,13,25,62,sandy loam,sandy loam (L)
17,6,15,21,64,sandy loam,sandy loam (L)
17,7,13.5,24,62.5,sandy loam,sandy loam (L)
18,1,23,38,39,loam,clay (E)
18,2,26.5,42.5,31,loam,clay (E)
18,3,29,43,28,clay loam,clay (E)
18,4,15,37,48,loam,sandy loam (L)
18,5,13,25,62,sandy loam,sandy loam (L)
18,6,15,21,64,sandy loam,sandy loam (L)
18,7,13.5,24,62.5,sandy loam,sandy loam (L)
19,1,23,38,39,loam,clay (E)
19,2,26.5,42.5,31,loam,clay (E)
19,3,29,43,28,clay loam,clay (E)
19,4,15,37,48,loam,sandy loam (L)
19,5,13,25,62,sandy loam,sandy loam (L)
19,6,15,21,64,sandy loam,sandy loam (L)
19,7,13.5,24,62.5,sandy loam,sandy loam (L)
20,1,30,44,26,clay loam,clay (E)
20,2,34,44,22,clay loam,clay (E)
20,3,42,49,9,silty clay,heavy clay (U)
20,4,40,50,10,silty clay,heavy clay (U)
20,5,6,9,85,loamy sand,sand (Z)
20,6,1,1,98,sand,sand (Z)
21,1,23,38,39,loam,clay (E)
21,2,26.5,42.5,31,loam,clay (E)
21,3,29,43,28,clay loam,clay (E)
21,4,15,37,48,loam,sandy loam (L)
21,5,13,25,62,sandy loam,sandy loam (L)
21,6,15,21,64,sandy loam,sandy loam (L)
21,7,13.5,24,62.5,sandy loam,sandy loam (L)
22,1,25.5,41,33.5,loam,clay (E)
22,2,27,41,32,clay loam,clay (E)
22,3,21,39,40,loam,clay (E)
22,4,17,30,53,sandy loam,sandy loam (L)
22,5,14,25,61,sandy loam,sandy loam (L)
22,6,8,19,73,sandy loam,loamy sand (S)
22,7,5,6,89,sand,sand (Z)
23,1,32,36,32,clay loam,clay (E)
23,2,25,29,46,loam,clay (E)
23,3,20,28,52,loam,clay (E)
23,4,18,29,53,sandy loam,sandy loam (L)
23,5,5,11,84,loamy sand,sand (Z)
23,6,2,3,95,sand,sand (Z)
24,1,19,28.5,52.5,sandy loam,clay (E)
24,2,16,28,56,sandy loam,sandy loam (L)
