year,DMY,crop
2012,7.3444,winter wheat
2013,7.955,winter wheat
2014,7.9722,winter wheat
2015,8.2646,winter wheat
2016,5.848,winter wheat
2017,7.5508,winter wheat
2018,7.3788,winter wheat
2019,8.1442,winter wheat
2020,7.8346,winter wheat
2021,6.88,winter wheat
2012,14.9905,silage maize
2013,15.771,silage maize
2014,17.1185,silage maize
2015,16.1735,silage maize
2016,12.3935,silage maize
2017,15.7185,silage maize
2018,11.984,silage maize
2019,14.329,silage maize
2020,13.783,silage maize
2021,15.575,silage maize
2012,8.416,potato
2013,8.799,potato
2014,9.753,potato
2015,8.821,potato
2016,7.429,potato
2017,8.692,potato
2018,5.999,potato
2019,8.196,potato
2020,7.769,potato
2021,8.6,potato
2012,19.7425,sugar beet
2013,19.975,sugar beet
2014,22.0225,sugar beet
2015,21.27,sugar beet
2016,18.1125,sugar beet
2017,23.7775,sugar beet
2018,20.7025,sugar beet
2019,22.01,sugar beet
2020,21.075,sugar beet
2021,21.55,sugar beet
2012,13.5,grass
2013,13.5,grass
2014,13.5,grass
2015,13.5,grass
2016,13.5,grass
2017,13.5,grass
2018,13.5,grass
2019,13.5,grass
2020,13.5,grass
2021,13.5,grass
